cancion_id,anio,genero,artista,titulo,total_escuchas
2e5b384f-f22e-4243-906c-54b715c115e9,1978,Blues,Ed Sheeran,Oscuridad Desierto,1260517
a10cdf18-8774-4ca5-bef0-acd3c4bfdf5e,1965,Techno,J Balvin,Aurora Fantasía,5281078
9efa9685-9aa2-4837-8b6c-7a8363a4dbe9,2018,Hip Hop,Farruko,Calle Desierto Recuerdo Luna,3552619
7476c8f6-9ba1-4870-b89a-43f86aacef35,2007,Blues,Rauw Alejandro,Amor Estrella Agua,7327613
2e610e40-45e2-488a-a4d7-bd4117030022,2002,Bachata,Myke Towers,Felicidad,2611655
35439945-d24b-4972-a53d-c364462f8fa1,1983,Techno,Alejandro Sanz,Fuego Mar Desierto Pueblo,5588802
c8351840-41a0-4f21-80a0-04a120f69f76,1964,Country,Paulo Londra,Instante Lluvia Viento Luna,9272179
3e2f4759-875f-40e6-a62b-8585441f373a,1992,Trap,Rauw Alejandro,Bailar Alma Refugio Silencio,3518159
f7bbf8a8-29bc-414c-861a-6f8bad118568,2012,Balada,Aitana,Refugio Ocaso Aurora,1932048
acdacbde-019f-4bf0-adc8-b968ea9ba487,1974,Punk,Red Hot Chili Peppers,Mentira Hola Avenida,2705353
6e7a5b0f-f23d-4132-9474-313e03ca9293,2014,Reggae,Julieta Venegas,Luna Mar Esperanza,324564
888a8211-eada-4b74-b862-da1b686c14f4,2018,Hip Hop,Sia,Cuerpo Desierto Agua,3913516
a78bcf7b-daad-4848-bc84-b166656d2d4b,2023,R&B,C. Tangana,Ocaso Mentira Ciudad,3444352
50a8b9d8-19e8-4440-a735-a88e47946c1c,2012,Electrónica,Beret,Silencio,3629624
f4b5503e-4f65-4242-897a-9b4b1a076ba1,2006,Gospel,Taylor Swift,Ciudad Bailar Destino Felicidad,7291164
b23dadef-f569-4907-aa7c-2860fddbe307,1974,Rock,Daddy Yankee,Río Corazón Cuerpo,5228270
16dff9bd-73b4-4fa0-b5cd-71e3420bb65c,1977,Rock,Beret,Sol Desierto Alma Adiós,4294956
2ca76a27-18cd-41e3-87b5-5a3ddcc4c5e9,2016,Country,Anuel AA,Bailar Dolor Cuerpo Grito,8805166
c629d28b-a265-402d-bc31-64f5d2864088,2007,Jazz,Muse,Cielo,4558224
7025ba12-1e26-4271-89e5-00e941f9c58b,2019,Salsa,Sebastián Yatra,Luz,3179184
9579ba54-b39f-47ef-985a-eb0acbb3775f,1978,Salsa,Led Zeppelin,Momento Cielo Infinito Alma,7351852
8282a053-ec1a-4419-b104-6d47d2d959be,1970,Trap,Beyoncé,Grito Silencio,4938876
96b4ddf3-1d11-427e-99a2-7cda5e60730b,2010,Flamenco,Rihanna,Pueblo Sombras Aurora Desierto,9708573
9b853840-086f-4fff-9bb6-d511d1eca39c,1964,Pop,Vicente Fernández,Ocaso Misterio,648417
55522ddd-7089-4363-8580-199a6b2624b3,2021,R&B,Café Tacvba,Eterno,7753779
9b8d934d-2785-44dd-8434-508ed63b4694,1975,Bachata,Luis Fonsi,Luz Ciudad Dolor Desierto,9633077
a836893e-584b-41ca-ac4a-cd92de4153e3,1982,Flamenco,Aitana,Recuerdo Pasión Viaje,6728171
0066482f-afd6-4db4-a63f-fbe9fafa6275,2019,Clásica,Imagine Dragons,Sol Felicidad,9195788
841503a5-3271-4608-a0f6-47ebe1c1236f,1968,Cumbia,Anuel AA,Viento Refugio Alma Luna,2268228
916b24b8-13b2-4268-a9d7-8627b8a41816,1976,Salsa,Farruko,Verano,6422820
07a21eaa-cc09-4b3b-91c5-ebdc24232310,2012,Clásica,Ozuna,Alma Vuelo Verdad Aurora,1544797
328c661f-48de-472f-b83f-b75454135ab7,1963,Metal,Taylor Swift,Viaje Risa,9134392
17daefa5-5683-4e73-a91e-5e2c16adcbee,1994,Ska,Myke Towers,Fuego,1159460
1ef94275-3a1b-4aa8-a8e1-34384eb8bd27,1974,Punk,Coldplay,Libertad Hola,719918
4ebaa623-cb83-4b1e-99b0-4e28c97ba3f3,2005,Flamenco,Shakira,Felicidad Adiós,7237038
9578f9c4-27d1-43fe-a494-7d9824bddb5a,2006,Jazz,Taylor Swift,Cuerpo Oscuridad Hola Noche,5585495
d5252fe7-720b-4306-8c24-743eeb316b58,2012,Electrónica,Mon Laferte,Agua Mar Hola,270947
191438b8-9f40-43d9-99e7-62d46e1c9483,2005,Gospel,Marc Anthony,Momento Refugio,7207230
6912dd07-ab9b-4e72-9cec-f702262d5914,1977,Techno,Kendrick Lamar,Adiós Risa Río Cuerpo,3223565
b8f06ca6-394c-48de-b305-74aac351eed4,1988,Clásica,Shakira,Camino Montaña Noche Viento,7612630
3ad8d4e9-9891-4299-811d-7a1f2d7750d6,1977,Electrónica,Rosalía,Mar,342884
c161420a-7909-4055-8295-ec6e2a7fb687,2001,Indie,Ozuna,Infinito Corazón Pueblo,697328
23c20696-6610-4c4f-b8c7-e7cf1977e315,1977,Blues,Linkin Park,Luz Ciudad Viento,7267499
de47f448-ed87-4cf6-b982-2f992209b9de,2015,Metal,Nirvana,Infinito Desierto,1066920
0683ed72-780b-4966-9449-0456640ec248,2017,K-Pop,Gloria Estefan,Ocaso Invierno,3526757
b7f15054-9b07-4c9e-aa54-0acdd3ad4c22,2025,K-Pop,Bruno Mars,Avenida Verdad Melancolía,5830338
45296055-cd7e-4952-b6c7-5af6c7f38fcd,1972,Clásica,Beyoncé,Fantasía Adiós,2348011
0ac55b77-0de7-452d-918b-bd8c4b401572,2007,Reggae,Morat,Corazón Aurora Invierno Misterio,6812570
69c84baa-2f20-4eed-98d3-ef1ce3b531e9,2004,Folk,Zoé,Cuerpo Agua Sombras Bosque,7802215
15ecb046-02a5-4a70-9a66-2d0f677e2721,1967,Trap,Arctic Monkeys,Libertad Ciudad Alma Sueño,1495501
a86fcc8f-bc58-46fe-9d56-959fb28a2dff,1990,Reggaetón,Zoé,Lluvia Noche,7794859
557d7257-3d35-4007-9fca-25515af86711,1990,Electrónica,Myke Towers,Avenida,5097005
87308db3-5060-4d92-b16b-c50cf9dd3249,1986,Electrónica,Nicky Jam,Estrella Melancolía Sol,9092324
e79ca3c5-4957-43b1-bade-c63f9b2c4a5c,1988,Reggae,Taylor Swift,Noche Invierno Vuelo,895166
7147fd94-36ac-4871-818a-82787db9fda2,1989,Pop,Manuel Turizo,Recuerdo Misterio Avenida,5751225
988b105a-8875-416a-90f1-bacb983838a1,2001,R&B,Myke Towers,Adiós Pasión Bosque,3892049
eefbbfed-9664-4a8a-bb52-30623ab05ca6,1983,Country,Bruno Mars,Verdad,9747740
ba501cf0-2148-4edd-8034-cebc6bddeb32,2009,Ska,Bad Bunny,Felicidad Invierno Esperanza,6181869
5f95dc52-6107-4a13-b034-b1bab8ccec43,1973,Salsa,Maluma,Mar Corazón,1591482
c5cf1c87-ca4e-49e3-a0dd-71cb9c415063,1970,Punk,Daddy Yankee,Libertad,4387832
a4ee548a-79d5-4a21-94f3-bb9550fc1973,1973,Hip Hop,Drake,Viento Luz Momento Silencio,1681762
987106fb-6833-44e1-bc99-9b052640e3cf,2011,Jazz,Bad Bunny,Bosque,5045579
1099df44-0f75-4442-a343-a21a76dfbd88,2024,Folk,Mon Laferte,Lluvia Dolor Mar,952069
7ee54d8b-3835-437e-a51f-36f0d285f32b,1971,Country,Morat,Oscuridad Bosque,4938114
e51b8610-e4b3-4a9b-82d3-d78acd501bed,1966,Blues,Maluma,Amor,386820
5dfe029f-4d9e-40fe-9641-448a31a58694,2007,Bachata,Led Zeppelin,Verano Vuelo Viaje Viento,1154105
ea98820a-03e6-42af-859b-d28c66069bff,2003,Jazz,Alejandro Sanz,Misterio Espejo,5650671
791b2138-f191-4da7-a748-469e956dd3ff,2023,Blues,Enrique Iglesias,Fantasía Desierto,3226802
d94e0abc-75e8-4666-a4e7-5b6090f45dc5,2007,Techno,Anuel AA,Refugio Pasión Tierra Espejo,7545403
92938251-ee8d-4e95-9e33-374bd3c4a833,1973,Bachata,Alejandro Sanz,Adiós Estrella Sombras Cuerpo,7762584
71c01124-a0b9-44ff-95ce-b7dafa6d339b,2011,Techno,Gloria Estefan,Felicidad,9963025
e58ab52e-13df-4a76-8dc7-d21d8de21c43,1964,Cumbia,Bad Bunny,Refugio Calle,6462298
6bbab091-4d39-4c0c-b5fd-ade52a23a0c0,1999,R&B,Rosalía,Infinito,4601212
47461f07-74e0-484c-bd52-2d6fcd592594,1969,Salsa,Sia,Avenida Desierto,3657777
d4e0a613-eb4d-4e0b-98b0-e0861a305f0f,2002,Techno,Billie Eilish,Felicidad Verdad Bailar Mentira,4011189
76c8059c-96a7-4386-9031-7d0dd0db5e32,1970,Bachata,Muse,Cuerpo Luna,4735247
aabc25b9-1a68-45d2-8484-1a8d523fdaca,1965,Blues,Beret,Corazón,2822615
39ae5a9e-3b12-4c57-a9f1-67b9e47c0dc5,1981,Hip Hop,Dua Lipa,Calle Luna Alma,4317124
b88e393c-381a-4381-b488-ca3756c892ab,2024,Clásica,Ozuna,Fantasía Grito Luna,3575914
f0acb7de-23e8-4d41-951d-5c75303bb8a8,1980,Balada,C. Tangana,Destino Dolor Misterio,1926907
9464e020-2791-4c27-907a-7f8ac0343d4e,1960,Salsa,C. Tangana,Risa,3398490
88f885d3-1526-45c5-bc13-6f848d511e05,1963,Clásica,The Weeknd,Agua Lluvia,9815138
eb181001-265a-4fac-8cd0-e45cf1b4048e,1970,Soul,Coldplay,Adiós,9798584
b400ebb9-78be-4094-9c62-72d7ab896a47,2010,Gospel,Farruko,Destino,1784460
07f43a99-7406-4f42-81ce-1e8b690bfb8e,1970,Folk,AC/DC,Invierno,2645732
cdfa3b00-3653-4a00-ada4-0a9ebec45eb5,1997,Electrónica,J Balvin,Viaje Avenida Corazón Cuerpo,3605671
d3a920ed-ca20-435d-b045-972e578ce4c2,1971,Blues,Sebastián Yatra,Viento Risa,8513902
74646337-fd78-4d21-a243-95421288c5d3,2002,Punk,J Balvin,Cuerpo Sombras Cielo,3429932
093d7abd-a1fc-4c00-a583-c094addd9503,1981,Pop,Zoé,Bosque,978848
bab7c426-9696-4aa1-bc96-237efa9cfbe3,1960,Cumbia,Manuel Turizo,Viento Cielo Verdad Hola,5417672
a2564983-53a4-4ddb-b8d4-18a5301196b0,1978,Electrónica,Metallica,Ocaso,6271598
82ed36bc-78d0-4836-a465-50ea32165712,1984,Ska,Julieta Venegas,Calle Vuelo Luz Sombras,6692254
d02fe9a5-794d-4609-8787-b130ed89ee99,2014,R&B,Anuel AA,Verdad,9385362
db841db4-8522-40fa-9af1-8086e029c983,2005,Techno,Maria Becerra,Silencio Ciudad Aurora,1152052
bb6de2e3-ce3d-4381-82a4-c7063a848aaf,1978,Ska,Ozuna,Desierto,6908313
5586f359-85c0-4bd2-a71f-43eb000c6f9f,2011,Techno,Zoé,Cuerpo Fuego Hola,8032619
4de6bf7b-dfd8-400f-9b12-e37b05530423,1988,Indie,Gloria Estefan,Invierno,3263156
40585708-fc03-4f95-8aec-1e8be44a8123,1966,Gospel,Led Zeppelin,Pasión Calle Ciudad,6921657
12077644-4068-4d66-a2fc-e963e8873d0c,1995,Soul,Vicente Fernández,Instante Agua,2781722
60ba6d2c-a432-4498-912c-c19202d01289,1987,Gospel,Farruko,Viaje,6042558
2004211e-fe24-44be-b02f-b933705d4f8d,1980,Rock,J Balvin,Instante Bailar,3984697
70987558-414f-4bd8-9b4f-2d9378d195a8,1972,Rock,Shakira,Agua Desierto Momento Noche,2725161
aa9899f5-e651-44cb-9837-3537361faccb,2016,Rock,Aitana,Eterno Montaña Cuerpo,8026354
c6e6cdab-65b5-4235-92ed-c0e4ec51cbc5,2022,Cumbia,Rauw Alejandro,Tierra,4756329
3f88491d-1555-406d-b966-fe15b4566cba,2021,Flamenco,Aitana,Vuelo,4546446
155be47c-6bad-4f18-9654-37298f11fc78,1969,Jazz,Daddy Yankee,Viaje Calle Adiós,5431117
b4e59bb7-e073-41cb-b43b-271ae00eae47,1974,Flamenco,Nicky Jam,Viento,537494
9cf90c1b-14a5-4ed0-b1b0-405994c24cb9,2019,K-Pop,Billie Eilish,Mar Grito Vuelo,3916631
76144763-fbd6-4ac5-894c-924975c34c2d,2021,Ska,Taylor Swift,Felicidad Esperanza Ocaso Libertad,1940871
94b0e329-40bd-4245-b623-37fd72635bac,2024,Folk,Gloria Estefan,Ocaso Risa Agua,9600653
7a4366e5-3218-4902-863d-75f85e4ec31b,2008,Balada,Beret,Adiós,77325
ac80cb52-6693-43bd-8d14-5c528820bc52,2004,Salsa,Enrique Iglesias,Río Sueño Eterno,6188108
e82ef18c-893c-4e45-ab2b-14110e433efb,1960,Pop,Maluma,Agua Instante,2902565
476dbc56-193c-4703-9b83-5c4b7a5d06b2,1979,Clásica,Sia,Vuelo Viento Río Melancolía,7907726
692ffdb6-92ff-4868-b227-2d32a57da5d3,2001,Clásica,The Beatles,Lluvia,9167918
b6841d3c-238d-4858-8e40-3705627713a1,1992,Folk,Bruno Mars,Espejo Dolor Amor Oscuridad,4968254
0e2eb27f-15d0-41c2-9d12-fdf17508c87b,1979,Techno,Morat,Agua,2847367
a1a60d90-eb40-4802-b472-2e85d6b9d9bf,1997,Rock,Anuel AA,Espejo Noche Invierno Agua,5617061
9051f13c-0b09-4d5b-a995-1675d7c8f392,2012,Reggaetón,Sebastián Yatra,Verdad,3334098
8ffb92cf-3d2e-4c0a-8832-07566de3d60c,2001,Techno,Beyoncé,Viaje Pasión Montaña Agua,1586577
1d8490e5-8be7-45c6-93d6-400289e7003f,2016,Country,Arctic Monkeys,Fuego Felicidad,8804641
102b766b-f5c7-4a61-9de3-31b6db323db0,2007,K-Pop,Nirvana,Dolor Luna Camino Refugio,3944945
d68f2862-29c8-4e2b-83de-2d65a524de91,2002,Ska,Morat,Ocaso Silencio,8615135
cf04037f-113f-4536-afab-1e72192a412b,2011,Soul,Anuel AA,Misterio Instante Viento Fuego,6792658
117c5d5f-c950-4746-a5ed-71563122403b,2023,Techno,J Balvin,Montaña,9024522
6b3fed2b-072f-4703-9094-73dd440910d9,2005,Pop,Drake,Viento Agua,3824753
689adf8b-9561-4562-a18b-8d4765ebaa4d,1973,Folk,Morat,Río Desierto,2718314
883ae84a-2580-45fa-9ee2-5ff6cf70c919,1990,Punk,Sebastián Yatra,Tierra Silencio,9619552
908ca566-1e2d-44f5-9e95-9521417eaead,1980,Metal,Juanes,Adiós Grito,2169362
f6995135-239f-47b5-9968-7a53df19d01d,1990,Blues,Sebastián Yatra,Momento,5181889
8e3c842c-a43e-4bd0-a67c-0bb779981d35,2009,Blues,Paulo Londra,Pasión Fuego Lluvia Verano,5302096
baeeb662-3ea3-4bb4-8835-bcc38f0e3fa8,2000,Trap,Enrique Iglesias,Sol Libertad Ciudad Esperanza,1057543
66560b0d-5211-430a-96cd-f75988c38b09,2025,R&B,Aitana,Esperanza Momento,3649757
082bd596-fefa-4723-86c8-ac83c7f9c1b7,2003,Rock,Imagine Dragons,Alma,3413422
3c79136e-f980-4aad-932a-9f1b6337c024,2019,Pop,Aitana,Libertad Luna,2442757
f8db4991-1fe0-4cb1-ad74-aaa37d040c63,1981,Indie,Luis Fonsi,Noche Adiós,41628
6fcba8fa-5035-4c02-8db9-cce9cc553ccc,1960,Balada,Juanes,Viento,2288708
2122f14e-76a1-4c8c-98e8-d00a19a730bd,1965,Blues,Nicky Jam,Verdad Fuego,564913
71f62b67-75d7-486d-a808-14dca99af409,2008,Gospel,Ricky Martin,Recuerdo Instante,3665442
79a70737-83cc-45ea-9d1e-27d77f000bd7,1981,Bachata,Nicky Jam,Recuerdo Risa,4405213
f36c325f-cad4-4b82-bfd6-65f4455ede64,1962,Salsa,Beret,Eterno Pueblo Bailar Esperanza,7762817
ee492f62-130c-40e9-9a44-601edf09d1a3,1982,Blues,Led Zeppelin,Silencio Río Cielo,4793812
b1e7a4e6-62bd-40d8-8865-7f63663471e9,2006,Hip Hop,Adele,Esperanza Cielo Felicidad,5751202
127a1216-a01e-4f27-92a3-561512123c47,2020,Soul,Rauw Alejandro,Refugio,862193
14a051b4-2d81-4a37-8975-88117cd1d696,1967,R&B,Juanes,Melancolía Adiós,4435390
ed8905f9-5049-4a88-8866-fe7aa51e1971,1961,Punk,Daddy Yankee,Destino,9216304
27473a6c-70a9-4bed-999c-27795568d3ec,2007,Hip Hop,Red Hot Chili Peppers,Oscuridad Misterio Avenida Ocaso,3012442
606a13ba-c9a6-4722-b074-d151c1f0bc84,1998,Hip Hop,Nicky Jam,Momento Misterio,74536
3819bb43-f7e5-4c5a-8adf-e5e160b088c2,2017,Trap,The Weeknd,Eterno Mentira Ocaso Lluvia,2968993
abd0df25-de41-4cb9-b58c-ff584def6213,1989,K-Pop,Ricky Martin,Esperanza Camino Ciudad Sueño,3464445
f7e37b97-ad02-412d-9a98-d221c663865f,2003,Cumbia,Luis Fonsi,Luz Fantasía,5192118
c4427ab5-a6d4-4408-a1f0-33bd3291b41c,2019,Flamenco,Sebastián Yatra,Recuerdo Dolor Lluvia Ocaso,5613991
58bae2ba-2f3f-4bd9-a160-df516e14bb44,2024,Blues,Tini,Risa Sueño,610673
5f482c67-9df8-4690-bba0-514c042e6f19,1978,Salsa,AC/DC,Ciudad,5315470
45da60c8-08f1-405f-bd45-c2c6a9b61100,2003,Reggae,Metallica,Desierto Viento Esperanza Dolor,9948437
b2301a22-e2d6-45f8-b30e-579913e4797e,1963,Salsa,Bad Bunny,Grito Silencio,4108081
f3340682-7f7f-4ea4-b695-53f9085fa83e,1997,Rock,Taylor Swift,Instante Tierra,2192102
bced384f-b24a-4cd1-8ad3-1322f39bab88,2019,Reggaetón,Ozuna,Hola Cuerpo Calle,9096165
633d86d2-c2d7-4603-9bb1-7c0b9cad00e8,1978,Balada,Manuel Turizo,Cuerpo Calle,5065767
911bd27e-ff93-4a1e-914c-a6bd4a159db7,1985,Pop,Aitana,Libertad Luna Silencio Sol,6169000
785a6e88-f302-4226-af5f-a6cbeb383dea,1981,Flamenco,Beyoncé,Amor Silencio Grito,1072722
34932851-5dab-41b5-9f3d-1291faa9d43d,2016,Soul,Anuel AA,Avenida Montaña Río,1580047
3ef33b27-f907-429b-91ec-630903fe5489,2021,Balada,Luis Fonsi,Ocaso Fuego Camino Misterio,4742297
b31adba0-85db-44c6-9f8f-248255ffa036,1989,Folk,Sebastián Yatra,Libertad Felicidad,5821221
7d9a0f2c-39ae-4abe-adfe-254a29ac0e2e,2010,Electrónica,Rihanna,Adiós Dolor Sueño,417041
7f8b2bb0-f0f9-46cf-8a48-aadfa619f1eb,1987,Jazz,Arctic Monkeys,Hola Felicidad Instante Oscuridad,3601058
4db0326f-cf3d-47bf-a651-74094d1fa9c1,1973,Folk,J Balvin,Verano Bailar,8065692
ee89f912-21af-48ea-bac2-1bd107b53a99,1960,Metal,Taylor Swift,Fuego,5589507
dcbba469-269d-4a2e-a3fa-1f9c2ee1780a,2000,Reggaetón,Nicky Jam,Tierra Infinito Montaña Vuelo,5463538
bba109b6-5242-4532-8e1b-8645ab3fb57e,2024,K-Pop,Maluma,Sol Mar Hola,9343209
5ea211c9-0a2a-4745-9bfa-dc0f60e4eea3,2006,Bachata,Nicky Jam,Grito Misterio Melancolía Oscuridad,6620704
1c5b2f13-8d5f-4e91-90a5-534d0e8d5880,2006,Blues,Paulo Londra,Estrella,2130951
ffdad640-c7c1-4518-a23c-65a063550a3a,2025,Salsa,Gloria Estefan,Libertad Espejo,3474481
b53cf475-e371-4e0c-bc2e-68e85ca9943a,1997,Reggaetón,The Weeknd,Luna Desierto,206231
8704b334-4b46-445f-8043-e425f6e798c4,1979,Hip Hop,Myke Towers,Estrella Misterio,5476598
c6699bd2-4445-40ca-a838-04ec32ebf8d5,1975,Rock,Coldplay,Hola Grito Amor Espejo,1434494
c78af2ff-99fa-4a18-bbfc-ffa51cccd086,1992,Cumbia,The Weeknd,Pueblo,7811266
2e1570bb-1d45-49e0-b723-97fb8c7b2e66,1974,Punk,Radiohead,Refugio Pasión,2283916
89cc8f5b-a6e5-4625-88d2-5e9505ee3d3a,1966,Balada,Taylor Swift,Amor,6308834
0da9e6d6-de59-4b6b-96ae-a0e3642fefb8,2024,Jazz,Myke Towers,Sol Ocaso Oscuridad,3530405
2bc5522a-a59d-47c5-b46e-5bbe1e7cbd5e,1989,Rock,Julieta Venegas,Camino Calle Sol,5027116
34ebb8db-5981-4b51-acde-cdb301262411,2023,Reggae,Myke Towers,Agua,6462157
50538ff7-b775-4397-984f-3f3e29bff846,1994,Folk,Linkin Park,Libertad Corazón Alma Fuego,3288447
3c78b179-1bcd-40df-998c-ac1bbb66bec3,1972,Rock,Muse,Risa Camino Calle Pueblo,5895559
ad7acb24-654d-450e-8bd4-8264b2944843,2015,Reggaetón,Muse,Pasión Verdad Amor,556552
8e2f66f2-9e3f-46f9-8ada-6ecd459b1b5b,1962,Rock,Ricky Martin,Espejo,399329
a1827568-be39-4055-9854-f443a19b565b,1972,K-Pop,Manuel Turizo,Invierno Viaje Corazón,6177686
e532155a-f375-47ce-aa60-f5c5bf98a0a3,2013,Pop,Karol G,Pueblo Luna Río,8055315
47265386-78a9-4a6b-89e3-ae75be1eddb1,1961,R&B,C. Tangana,Montaña Felicidad,4058799
14be0b8d-2a61-45e1-ad4a-56bef216fc69,1964,Clásica,Taylor Swift,Instante Noche,5237899
76c3643f-26c5-4949-ba89-4922a9683541,2016,Rock,Mon Laferte,Sol Montaña,5486244
78c03415-9a3e-4c37-8fb5-bfb2c7803396,1966,Rock,Enrique Iglesias,Felicidad Eterno Instante Bosque,6395031
e8017b92-0535-4aff-9b2e-a34b5cc67496,2015,R&B,Ricky Martin,Misterio Eterno Pasión Noche,9466230
420e7b7c-03b8-4284-8382-66e2a03549a7,1961,Flamenco,Rauw Alejandro,Pasión,7704510
d7cf52df-a095-4e87-afff-057cdcf6b79b,1972,Clásica,Nicky Jam,Eterno Sol,4546776
fd5decfb-382f-4749-82dd-2eed81f04d19,1986,Country,Coldplay,Infinito Aurora Sombras Alma,2166425
cf4db7b0-c42a-4810-92d5-a7f91b3ef469,1985,Rock,Manuel Turizo,Aurora,888743
ca21475a-ced2-45c1-9243-572e232bb200,2007,Punk,Daddy Yankee,Sueño,5694719
0b031927-f2d6-4eb0-a27a-7cdfc94ce5bb,1989,Punk,Beret,Esperanza Lluvia Libertad Estrella,6736724
6146e7cb-99f8-449d-8cfd-edeb8cb744fe,2012,Reggaetón,AC/DC,Fuego,3417779
f2477f4c-364b-45d6-8d03-cd3f7491275b,1992,R&B,Beret,Alma Melancolía Felicidad Avenida,3707437
a6a7c678-b5b1-49e9-8300-2262914e16f8,2010,K-Pop,Ed Sheeran,Infinito,4524266
ac7b951d-8fbd-48cb-b38f-794f3852dd80,2017,Blues,Beret,Eterno,9502145
fb24f79a-9caa-44e1-9b2f-f5b1c4375d90,2012,Folk,Juanes,Grito,2275076
845d30fe-52fa-431d-8631-9ffc497efd5e,2016,Jazz,Adele,Alma Fuego,7857714
97f3083b-234f-4097-9bd0-c81c70a9f3cd,2018,Trap,Queen,Noche Desierto Oscuridad Hola,586880
026dc59d-b22c-40e1-9638-ecb2b87f109c,2000,Techno,Adele,Ciudad Hola Pasión Luna,7315381
671f6dfd-5780-4c86-a519-0a1ada52d08c,1966,K-Pop,Karol G,Bailar Sol,1466513
3632ea40-7b23-4222-8e95-6a729a542bf6,2021,Cumbia,Karol G,Luna,5586171
48b23e7c-0feb-4c54-b245-85b39d804ae3,2017,Techno,Bruno Mars,Noche Melancolía,1603568
242489e3-49c7-45c8-95ac-7f1608798788,2017,K-Pop,Imagine Dragons,Felicidad,3575524
df0eef67-298e-4c81-a51a-38a5a308db2b,1983,Soul,Red Hot Chili Peppers,Espejo,5055080
d8abd48b-2156-47b3-a769-9cf191d15eac,1989,Country,Linkin Park,Verdad Viento Luna,9064526
203504a9-7617-4f02-b6ca-985ec132a3d8,1962,Jazz,Café Tacvba,Mar Esperanza Agua Adiós,5122529
10179f79-ae27-481e-9fd0-9f7195673690,1973,Hip Hop,Rosalía,Dolor Desierto Vuelo Cuerpo,7697177
9810154d-75db-4d2f-bc59-a43755077300,1971,Gospel,Bad Bunny,Noche Libertad,9292423
3fa3fef0-0e4d-4ed2-8c5f-1c95491e1d93,1978,Indie,C. Tangana,Montaña,8377078
9d890797-d7ac-4e1d-a223-5e096017d90f,2016,Punk,Marc Anthony,Sombras Oscuridad Luna,3704541
8db50b2d-6528-4b89-95d3-1928754391f9,2021,Reggae,Vicente Fernández,Agua,8516605
bb6d0618-5f7a-4470-9c1f-7c42d28db7e5,1968,Ska,Mon Laferte,Recuerdo Grito Infinito Melancolía,963010
7de06428-0dfa-4e0d-92bf-946b0c3bd865,2015,Rock,The Weeknd,Felicidad Espejo,9071217
984ccf37-8ca4-42d5-85dc-608e57cc5da9,1976,Bachata,The Weeknd,Adiós Mentira Instante,8493232
